Second,Millisecond,Depth (inches),Rate (CPM),Release Velocity (MM/S),Valid/Invalid
696,59,1.548,138,216,Valid
696,555,1.533,122,253,Valid
697,35,1.407,129,181,Valid
697,492,1.496,120,233,Valid
697,996,1.544,122,210,Valid
698,468,1.592,125,232,Valid
698,972,1.59,120,217,Valid
699,468,1.515,125,247,Valid
699,916,1.461,133,214,Valid
700,356,1.565,127,228,Valid
700,844,1.561,129,200,Valid
701,324,1.568,120,200,Valid
701,796,1.361,136,194,Valid
702,236,1.399,129,192,Valid
702,740,1.531,119,237,Valid
703,212,1.568,127,273,Valid
703,668,1.557,131,220,Valid
704,148,1.697,120,226,Valid
704,596,1.69,136,242,Valid
705,76,1.497,131,237,Valid
705,524,1.558,127,264,Valid
705,980,1.591,133,215,Valid
706,453,1.553,127,188,Valid
706,949,1.539,117,241,Valid
707,429,1.485,131,243,Valid
707,925,1.442,119,213,Valid
708,389,1.487,127,168,Valid
708,845,1.524,125,219,Valid
709,325,1.36,136,159,Valid
709,797,1.4,119,222,Valid
710,293,1.415,120,214,Valid
710,701,1.365,150,240,Valid
711,173,1.389,131,200,Valid
711,613,1.35,131,189,Valid
712,77,1.384,133,243,Valid
712,509,1.394,136,235,Valid
712,949,1.409,144,181,Valid
713,381,1.339,125,165,Valid
716,222,1.246,21,227,Valid
717,726,1.413,41,150,Valid
719,150,1.04,42,133,Valid
720,126,0.837,60,94,Valid
721,22,0.693,65,121,Valid
721,998,0.625,63,76,Valid
722,454,0.644,119,113,Valid
722,974,0.604,122,107,Valid
723,454,0.574,122,99,Valid
723,910,0.551,133,86,Valid
724,367,0.597,127,110,Valid
724,879,0.656,117,93,Valid
725,391,0.611,127,80,Valid
725,791,0.669,131,134,Valid
726,815,0.658,61,118,Valid
727,247,0.749,122,102,Valid
727,727,0.69,131,106,Valid
728,223,0.64,127,101,Valid
728,695,0.602,127,124,Valid
729,183,0.59,122,114,Valid
729,647,0.589,129,102,Valid
730,127,0.548,129,81,Valid
730,567,0.584,127,94,Valid
731,31,0.552,136,93,Valid
731,535,0.544,119,86,Valid
731,983,0.591,125,112,Valid
732,495,0.609,120,116,Valid
732,983,0.608,125,104,Valid
733,447,0.72,120,128,Valid
733,943,0.724,127,117,Valid
734,440,0.709,120,99,Valid
734,912,0.643,127,118,Valid
735,416,0.601,122,90,Valid
735,872,0.573,129,104,Valid
736,352,0.541,129,86,Valid
736,808,0.634,122,108,Valid
737,264,0.664,131,118,Valid
737,760,0.671,120,115,Valid
738,184,0.637,144,123,Valid
738,624,0.676,133,123,Valid
739,144,0.638,120,93,Valid
739,568,0.678,131,108,Valid
740,80,0.614,125,110,Valid
740,528,0.702,125,146,Valid
741,32,0.683,127,125,Valid
741,472,0.755,127,129,Valid
741,928,0.77,133,122,Valid
742,408,0.799,125,146,Valid
742,880,0.782,125,146,Valid
743,361,0.756,129,126,Valid
743,833,0.695,129,103,Valid
744,273,0.768,125,134,Valid
744,809,0.668,122,88,Valid
745,249,0.749,125,150,Valid
745,785,0.66,122,81,Valid
746,193,0.756,127,143,Valid
746,713,0.696,129,112,Valid
747,177,0.728,120,99,Valid
747,633,0.705,133,95,Valid
748,113,0.691,125,102,Valid
748,585,0.717,125,126,Valid
749,489,0.774,64,112,Valid
749,985,0.672,133,114,Valid
750,441,0.673,129,113,Valid
750,849,0.704,138,108,Valid
751,329,0.723,127,109,Valid
751,769,0.725,138,125,Valid
752,250,0.711,127,85,Valid
752,722,0.687,127,114,Valid
753,186,0.716,127,123,Valid
753,666,0.725,127,113,Valid
754,114,0.7,133,110,Valid
754,562,0.813,125,148,Valid
755,66,0.737,131,97,Valid
755,498,0.734,131,124,Valid
755,954,0.775,127,138,Valid
756,450,0.677,133,102,Valid
756,866,0.714,131,104,Valid
757,322,0.75,129,112,Valid
757,786,0.698,138,106,Valid
758,234,0.651,136,86,Valid
758,674,0.705,127,118,Valid
759,146,0.703,131,131,Valid
759,618,0.708,125,116,Valid
760,66,0.724,133,126,Valid
760,506,0.792,133,132,Valid
760,986,0.806,125,105,Valid
761,427,0.794,136,124,Valid
761,907,0.712,131,108,Valid
762,355,0.772,129,148,Valid
762,851,0.777,122,115,Valid
763,307,0.795,127,118,Valid
763,763,0.762,131,112,Valid
764,227,0.761,131,122,Valid
764,691,0.819,125,134,Valid
765,179,0.797,127,133,Valid
765,667,0.744,127,125,Valid
766,147,0.766,120,117,Valid
766,619,0.764,127,120,Valid
767,91,0.79,125,120,Valid
767,555,0.719,133,104,Valid
768,11,0.704,131,108,Valid
768,523,0.638,122,90,Valid
768,963,0.646,127,105,Valid
769,891,0.591,66,90,Valid
770,324,0.624,129,98,Valid
770,812,0.658,127,98,Valid
771,260,0.701,129,114,Valid
771,748,0.604,138,91,Valid
772,164,0.648,129,110,Valid
772,612,0.694,133,105,Valid
773,108,0.737,119,121,Valid
773,588,0.714,127,102,Valid
774,20,0.7,136,110,Valid
774,508,0.686,127,109,Valid
774,972,0.708,127,117,Valid
775,452,0.694,129,96,Valid
775,860,0.735,133,116,Valid
776,372,0.703,127,116,Valid
776,820,0.704,129,96,Valid
777,292,0.653,129,89,Valid
777,756,0.626,131,87,Valid
778,180,0.654,133,101,Valid
779,76,0.668,67,95,Valid
779,556,0.718,125,104,Valid
780,4,0.743,129,113,Valid
780,469,0.704,136,94,Valid
780,925,0.688,133,105,Valid
781,389,0.751,122,115,Valid
781,845,0.664,136,107,Valid
782,749,0.67,65,94,Valid
783,165,0.697,133,104,Valid
783,677,0.685,125,107,Valid
784,589,0.695,65,99,Valid
785,5,0.653,138,101,Valid
785,501,0.611,133,82,Valid
785,877,0.67,136,102,Valid
786,837,0.657,65,90,Valid
787,245,0.682,129,114,Valid
788,125,0.865,69,208,Valid
797,974,1.162,6,268,Valid
798,447,1.087,141,201,Valid
798,855,1.339,138,209,Valid
799,271,1.477,138,262,Valid
799,695,1.489,138,301,Valid
800,151,1.468,133,294,Valid
800,615,1.418,133,266,Valid
801,63,1.351,133,248,Valid
801,487,1.357,138,229,Valid
801,895,1.381,138,244,Valid
802,343,1.411,138,278,Valid
802,783,1.404,136,256,Valid
803,247,1.414,131,254,Valid
803,679,1.369,141,261,Valid
804,119,1.401,131,247,Valid
804,567,1.374,133,248,Valid
805,31,1.36,133,247,Valid
805,479,1.364,131,244,Valid
805,911,1.44,136,269,Valid
806,383,1.415,131,239,Valid
806,799,1.407,138,267,Valid
807,272,1.436,131,252,Valid
807,704,1.458,136,243,Valid
808,152,1.456,136,233,Valid
808,616,1.434,129,222,Valid
809,56,1.395,133,207,Valid
809,512,1.304,131,203,Valid
809,936,1.295,141,206,Valid
810,384,1.256,133,201,Valid
810,832,1.258,133,215,Valid
811,296,1.263,129,190,Valid
811,744,1.224,136,192,Valid
812,200,1.292,127,198,Valid
812,656,1.249,133,191,Valid
813,136,1.226,125,178,Valid
813,600,1.298,125,226,Valid
814,80,1.285,131,213,Valid
814,512,1.295,133,203,Valid
814,968,1.423,129,213,Valid
815,424,1.417,136,248,Valid
815,888,1.377,131,211,Valid
816,321,1.418,133,207,Valid
816,777,1.405,129,224,Valid
817,217,1.436,138,250,Valid
817,689,1.375,133,207,Valid
818,129,1.411,129,201,Valid
818,609,1.38,125,211,Valid
819,73,1.365,131,217,Valid
819,553,1.339,129,203,Valid
820,25,1.396,120,211,Valid
820,497,1.414,127,228,Valid
820,993,1.292,129,200,Valid
821,441,1.333,125,194,Valid
821,921,1.361,125,202,Valid
822,393,1.268,129,195,Valid
822,865,1.325,127,210,Valid
823,321,1.321,127,203,Valid
823,825,1.273,125,188,Valid
824,281,1.328,125,209,Valid
824,761,1.319,129,214,Valid
825,258,1.233,122,191,Valid
825,722,1.28,122,191,Valid
826,202,1.27,129,181,Valid
826,698,1.383,119,201,Valid
827,186,1.344,125,216,Valid
827,666,1.326,129,197,Valid
828,138,1.471,119,207,Valid
828,618,1.452,127,226,Valid
829,90,1.403,131,214,Valid
829,554,1.385,127,181,Valid
830,26,1.463,122,201,Valid
830,506,1.46,129,210,Valid
830,994,1.383,125,186,Valid
831,442,1.381,131,194,Valid
831,914,1.377,127,185,Valid
832,378,1.337,129,208,Valid
832,842,1.265,133,199,Valid
833,282,1.342,129,206,Valid
833,730,1.368,133,225,Valid
834,226,1.358,122,218,Valid
834,706,1.374,127,207,Valid
835,178,1.371,122,205,Valid
835,667,1.313,127,185,Valid
836,139,1.343,122,199,Valid
836,595,1.359,131,194,Valid
837,51,1.375,129,215,Valid
837,547,1.343,125,205,Valid
837,987,1.25,136,163,Valid
838,459,1.293,122,162,Valid
838,907,1.366,136,213,Valid
839,379,1.323,129,213,Valid
839,843,1.218,133,169,Valid
840,291,1.348,125,199,Valid
840,755,1.338,129,197,Valid
841,251,1.317,122,202,Valid
841,731,1.301,129,187,Valid
842,187,1.329,129,181,Valid
842,627,1.326,129,190,Valid
843,115,1.245,131,201,Valid
843,539,1.255,133,212,Valid
844,35,1.226,127,179,Valid
844,476,1.271,129,165,Valid
844,948,1.311,127,190,Valid
845,444,1.291,122,178,Valid
845,940,1.309,120,201,Valid
846,420,1.263,127,176,Valid
846,900,1.286,125,180,Valid
847,340,1.194,133,179,Valid
847,828,1.171,125,174,Valid
848,308,1.166,127,178,Valid
848,756,1.196,129,185,Valid
849,244,1.2,125,180,Valid
849,708,1.223,127,185,Valid
850,196,1.199,125,177,Valid
850,660,1.286,127,196,Valid
851,108,1.326,133,212,Valid
851,572,1.329,131,214,Valid
852,12,1.367,133,220,Valid
852,476,1.274,136,172,Valid
852,908,1.337,131,202,Valid
853,365,1.372,131,196,Valid
853,821,1.381,131,189,Valid
854,277,1.374,133,198,Valid
854,725,1.378,131,196,Valid
855,181,1.339,136,199,Valid
855,589,1.287,144,200,Valid
856,29,1.225,136,184,Valid
856,437,1.224,144,187,Valid
856,877,1.246,138,189,Valid
857,309,1.291,133,190,Valid
857,757,1.229,141,194,Valid
858,189,1.234,136,189,Valid
858,605,1.267,144,208,Valid
859,37,1.301,136,199,Valid
859,501,1.298,133,190,Valid
859,925,1.351,133,199,Valid
860,405,1.329,131,202,Valid
860,853,1.379,129,185,Valid
861,309,1.442,131,213,Valid
861,741,1.416,144,253,Valid
862,125,1.524,133,344,Valid
864,430,1.129,26,142,Valid
864,838,0.959,153,131,Valid
865,246,1.042,144,121,Valid
865,678,1.284,127,158,Valid
866,134,1.366,129,216,Valid
866,574,1.192,147,234,Valid
867,78,1.084,129,182,Valid
867,494,1.077,136,169,Valid
867,918,1.198,131,178,Valid
868,358,1.224,138,183,Valid
868,822,1.157,133,187,Valid
869,270,1.195,129,179,Valid
869,758,1.143,125,177,Valid
870,214,1.161,131,160,Valid
870,678,1.211,127,193,Valid
871,110,1.026,150,157,Valid
871,598,1.007,120,126,Valid
872,46,1.038,125,150,Valid
872,503,1.038,133,179,Valid
873,23,0.902,120,147,Valid
873,487,0.949,120,138,Valid
873,951,0.911,133,138,Valid
874,399,0.908,131,151,Valid
874,847,0.898,138,149,Valid
875,303,0.933,131,138,Valid
875,743,0.957,133,132,Valid
876,207,0.923,133,138,Valid
876,631,0.894,133,128,Valid
877,79,0.937,133,155,Valid
877,511,0.875,144,128,Valid
877,975,0.773,136,115,Valid
878,399,0.851,129,132,Valid
878,847,0.845,136,121,Valid
879,271,0.765,144,119,Valid
879,695,0.857,136,133,Valid
880,135,0.816,147,114,Valid
880,559,0.827,133,139,Valid
880,991,0.761,144,102,Valid
881,408,0.852,136,159,Valid
881,872,0.93,131,147,Valid
882,272,0.906,150,172,Valid
883,160,0.943,66,112,Valid
883,592,0.918,144,125,Valid
884,32,0.962,131,175,Valid
884,528,0.967,131,154,Valid
884,928,0.89,147,137,Valid
885,352,0.891,136,156,Valid
885,784,0.929,141,128,Valid
886,192,0.946,138,130,Valid
886,640,0.904,141,146,Valid
887,88,0.858,136,132,Valid
887,512,0.905,133,144,Valid
887,960,0.921,131,159,Valid
888,424,0.929,136,168,Valid
888,840,0.884,141,125,Valid
889,280,0.964,133,141,Valid
889,704,0.952,141,140,Valid
890,160,0.915,138,140,Valid
890,577,0.919,138,129,Valid
891,49,0.84,133,119,Valid
891,441,0.787,150,123,Valid
891,841,0.781,147,120,Valid
892,297,0.79,131,117,Valid
892,705,0.815,144,119,Valid
893,129,0.842,138,129,Valid
893,585,0.804,136,132,Valid
894,57,0.87,125,142,Valid
894,489,0.877,141,138,Valid
894,905,1.005,136,177,Valid
895,361,0.972,136,145,Valid
895,809,0.927,136,142,Valid
896,249,0.973,133,152,Valid
896,705,1.07,127,172,Valid
897,217,1.113,119,160,Valid
897,665,0.973,141,148,Valid
898,113,1.011,129,165,Valid
898,601,0.876,133,125,Valid
899,1,0.938,133,137,Valid
899,490,1.026,127,135,Valid
899,890,0.981,138,159,Valid
900,354,0.83,147,156,Valid
900,810,0.851,131,125,Valid
901,218,1.09,129,185,Valid
901,714,1.134,122,160,Valid
902,162,1.107,136,179,Valid
902,634,1.023,133,139,Valid
903,50,0.971,141,137,Valid
903,498,0.996,131,140,Valid
903,954,0.921,136,123,Valid
904,370,1.003,136,152,Valid
904,786,1.013,144,168,Valid
905,226,1.04,138,160,Valid
905,674,0.956,136,148,Valid
906,122,1.01,133,144,Valid
906,554,1.026,133,124,Valid
906,986,1.07,133,163,Valid
907,490,0.943,133,133,Valid
907,906,0.891,136,160,Valid
908,379,0.924,129,126,Valid
908,787,1.02,136,147,Valid
909,251,0.967,133,139,Valid
909,691,0.991,136,160,Valid
910,131,0.988,138,170,Valid
910,595,0.951,129,146,Valid
911,19,1.013,133,155,Valid
911,475,1.052,136,181,Valid
911,955,0.971,129,144,Valid
912,371,0.96,141,124,Valid
912,787,0.946,141,135,Valid
913,235,1.015,131,179,Valid
913,707,1.026,133,150,Valid
914,155,1.104,127,151,Valid
914,611,1.037,136,156,Valid
915,35,0.965,138,151,Valid
915,491,1.076,127,201,Valid
915,947,0.955,141,148,Valid
916,411,0.986,125,162,Valid
916,867,1.054,129,182,Valid
917,316,1.138,133,190,Valid
917,764,1.02,141,171,Valid
918,188,0.973,138,156,Valid
918,620,1.052,133,155,Valid
919,68,1.131,129,174,Valid
919,964,1.049,68,139,Valid
920,436,0.978,131,133,Valid
920,860,0.975,138,144,Valid
921,316,1.048,127,175,Valid
921,788,0.979,136,135,Valid
922,220,0.954,133,134,Valid
922,676,0.95,133,148,Valid
923,84,1.094,138,187,Valid
923,556,1.009,138,143,Valid
923,996,1.045,129,139,Valid
924,412,1.079,138,149,Valid
924,836,1.025,141,162,Valid
925,340,0.943,127,124,Valid
925,772,1.007,125,148,Valid
926,252,0.981,138,155,Valid
926,676,0.978,133,135,Valid
927,108,0.996,144,171,Valid
927,557,1.1,131,176,Valid
927,997,1.107,133,151,Valid
928,477,1.079,127,164,Valid
928,949,1.012,127,143,Valid
929,397,0.985,133,122,Valid
929,853,0.913,131,118,Valid
930,309,0.921,129,134,Valid
930,741,1.006,136,183,Valid
931,213,1.134,129,185,Valid
931,661,1.27,129,197,Valid
932,117,1.12,138,197,Valid
932,597,1.043,127,140,Valid
933,29,1.112,129,153,Valid
933,525,0.969,136,115,Valid
933,925,1.089,131,181,Valid
934,389,1.068,133,172,Valid
934,845,1.09,131,175,Valid
935,317,1.139,129,162,Valid
935,757,1.183,131,202,Valid
936,238,1.154,129,167,Valid
936,686,1.154,133,185,Valid
937,158,1.217,122,179,Valid
937,622,1.306,129,215,Valid
938,142,1.253,117,158,Valid
938,558,1.183,147,218,Valid
939,62,1.111,122,162,Valid
939,558,1.272,115,177,Valid
940,54,1.24,122,185,Valid
940,542,1.177,125,175,Valid
941,22,1.262,119,187,Valid
941,518,1.228,125,174,Valid
942,22,1.234,115,168,Valid
942,518,1.291,120,181,Valid
943,22,1.349,119,197,Valid
943,542,1.261,119,197,Valid
944,14,1.198,127,167,Valid
944,486,1.19,125,149,Valid
944,966,1.152,127,154,Valid
945,447,1.023,127,142,Valid
945,919,1.033,125,157,Valid
946,383,1.126,127,162,Valid
946,871,1.137,122,167,Valid
947,343,1.152,129,192,Valid
947,807,1.088,136,158,Valid
948,239,1.162,129,203,Valid
948,703,1.324,125,232,Valid
949,183,1.261,133,212,Valid
949,647,1.248,127,195,Valid
950,95,1.145,141,182,Valid
950,471,1.33,133,313,Valid
951,591,1.05,58,140,Valid
952,927,1.301,43,217,Valid
953,479,1.256,107,145,Valid
954,111,1.471,101,234,Valid
954,711,1.333,98,196,Valid
955,352,1.473,93,202,Valid
955,992,1.717,93,264,Valid
956,584,1.689,98,232,Valid
957,200,1.578,98,216,Valid
957,840,1.556,93,201,Valid
958,416,1.465,102,199,Valid
959,16,1.506,100,217,Valid
959,640,1.551,96,237,Valid
960,296,1.77,94,244,Valid
960,936,1.799,93,212,Valid
961,536,1.7,97,210,Valid
962,240,1.602,86,179,Valid
972,777,1.527,5,232,Valid
973,434,1.665,91,185,Valid
974,98,1.625,94,194,Valid
974,690,1.536,96,238,Valid
975,330,1.464,92,197,Valid
975,986,1.558,92,210,Valid
976,634,1.634,94,242,Valid
977,250,1.558,93,224,Valid
977,810,1.699,107,261,Valid
978,282,1.511,129,236,Valid
978,794,1.56,115,209,Valid
979,274,1.667,125,228,Valid
979,794,1.521,117,204,Valid
980,306,1.488,119,211,Valid
980,818,1.433,117,192,Valid
981,346,1.452,111,188,Valid
982,2,1.497,91,217,Valid
982,603,1.483,101,203,Valid
984,715,1.466,28,204,Valid
985,243,1.415,115,150,Valid
985,747,1.625,113,209,Valid
986,179,1.573,136,219,Valid
986,659,1.724,125,287,Valid
987,627,1.668,63,199,Valid
988,107,1.522,122,204,Valid
988,651,1.353,117,149,Valid
989,115,1.343,122,151,Valid
989,587,1.312,129,173,Valid
990,75,1.237,125,170,Valid
990,547,1.217,127,169,Valid
991,19,1.213,129,134,Valid
991,460,1.227,131,145,Valid
991,932,1.224,127,166,Valid
992,412,1.13,129,121,Valid
992,852,1.057,133,130,Valid
993,324,1.13,120,162,Valid
993,820,1.017,129,144,Valid
994,284,1.151,120,171,Valid
994,748,1.173,133,142,Valid
995,244,1.189,120,146,Valid
995,700,1.188,129,151,Valid
996,196,1.145,125,134,Valid
996,628,1.108,133,136,Valid
997,100,1.141,127,164,Valid
997,580,1.161,125,157,Valid
998,76,1.082,127,137,Valid
998,540,1.141,122,132,Valid
999,28,1.175,122,156,Valid
999,516,1.121,125,135,Valid
1000,20,1.15,117,140,Valid
1000,516,1.25,120,171,Valid
1001,20,1.187,122,156,Valid
1001,485,1.253,127,150,Valid
1001,965,1.274,122,144,Valid
1002,453,1.324,122,179,Valid
1002,965,1.192,125,164,Valid
1003,429,1.254,122,168,Valid
1003,901,1.294,125,165,Valid
1004,389,1.301,122,171,Valid
1004,893,1.226,122,151,Valid
1005,373,1.312,120,156,Valid
1005,853,1.288,125,166,Valid
1006,365,1.22,120,138,Valid
1006,853,1.3,120,171,Valid
1007,349,1.313,119,168,Valid
1007,853,1.253,122,171,Valid
1008,357,1.312,117,182,Valid
1008,837,1.301,122,164,Valid
1009,342,1.262,122,149,Valid
1009,814,1.231,127,146,Valid
1010,294,1.281,120,182,Valid
1010,806,1.207,122,161,Valid
1011,270,1.229,125,141,Valid
1011,750,1.209,125,138,Valid
1012,222,1.154,129,125,Valid
1012,726,1.235,115,163,Valid
1013,230,1.082,129,139,Valid
1013,718,1.143,113,146,Valid
1014,158,1.214,133,148,Valid
1014,646,1.201,127,130,Valid
1015,118,1.26,122,167,Valid
1015,606,1.266,127,163,Valid
1016,86,1.192,127,154,Valid
1016,590,1.132,120,136,Valid
1017,70,1.314,119,212,Valid
1017,566,1.268,125,193,Valid
1018,38,1.322,125,179,Valid
1018,510,1.374,125,180,Valid
1018,998,1.455,125,197,Valid
1019,495,1.461,120,199,Valid
1019,975,1.375,129,187,Valid
1020,439,1.376,127,181,Valid
1020,935,1.301,122,134,Valid
1021,407,1.333,125,161,Valid
1021,903,1.293,117,181,Valid
1022,423,1.188,122,138,Valid
1022,927,1.291,115,147,Valid
1023,407,1.302,122,154,Valid
1023,919,1.342,119,192,Valid
1024,439,1.313,117,186,Valid
1024,935,1.318,119,158,Valid
1025,431,1.46,120,209,Valid
1025,911,1.425,125,226,Valid
1026,407,1.358,122,162,Valid
1026,903,1.447,117,166,Valid
1027,367,1.485,129,215,Valid
1027,855,1.371,127,182,Valid
1028,352,1.42,115,224,Valid
1028,856,1.45,122,201,Valid
1029,344,1.436,122,158,Valid
1029,824,1.513,122,201,Valid
1030,312,1.433,125,208,Valid
1030,824,1.369,119,185,Valid
1031,288,1.469,125,211,Valid
1031,784,1.469,120,179,Valid
1032,256,1.457,129,174,Valid
1032,768,1.474,115,185,Valid
1033,272,1.356,122,173,Valid
1033,776,1.587,115,265,Valid
1034,296,1.34,127,162,Valid
1034,760,1.474,119,161,Valid
1035,256,1.524,119,195,Valid
1035,768,1.348,120,164,Valid
1036,240,1.348,122,193,Valid
1036,704,1.323,131,195,Valid
1037,192,1.324,120,171,Valid
1037,681,1.333,125,161,Valid
1038,169,1.38,119,174,Valid
1038,657,1.34,125,182,Valid
1039,121,1.319,127,162,Valid
1039,609,1.328,125,155,Valid
1040,89,1.322,125,157,Valid
1040,593,1.228,122,148,Valid
1041,65,1.244,125,156,Valid
1041,537,1.27,122,169,Valid
1042,25,1.341,122,217,Valid
1042,481,1.391,133,220,Valid
1042,977,1.313,127,170,Valid
1043,417,1.48,129,197,Valid
1043,881,1.492,129,221,Valid
1044,353,1.672,127,278,Valid
1046,641,1.167,26,146,Valid
1047,129,1.131,127,124,Valid
1047,498,1.18,141,117,Valid
1047,938,1.183,136,176,Valid
1048,370,0.979,147,167,Valid
1048,794,0.924,144,170,Valid
1049,170,0.892,153,157,Valid
1049,594,0.935,141,162,Valid
1050,66,0.885,127,128,Valid
1050,538,0.998,125,169,Valid
1051,26,1.006,127,174,Valid
1051,482,0.991,131,158,Valid
1051,938,1.078,127,172,Valid
1052,426,1.15,120,174,Valid
1052,930,1.111,125,181,Valid
1053,426,1.074,122,180,Valid
1053,922,1.052,120,173,Valid
1054,410,1.019,120,174,Valid
1054,890,1.05,125,193,Valid
1055,363,1.029,129,174,Valid
1055,835,1.016,127,157,Valid
1056,259,1.007,136,168,Valid
1056,739,1.057,125,186,Valid
1057,195,1.021,133,172,Valid
1057,691,1.016,120,151,Valid
1058,155,0.922,131,148,Valid
1058,651,1.109,117,170,Valid
1059,123,1.163,122,203,Valid
1059,619,1.123,127,171,Valid
1060,99,1.229,120,187,Valid
1060,627,1.19,113,180,Valid
1061,163,1.197,113,182,Valid
1061,715,1.234,107,192,Valid
1062,227,1.266,117,192,Valid
1062,723,1.244,122,193,Valid
1063,227,1.365,117,210,Valid
1063,739,1.329,119,197,Valid
1064,259,1.359,113,212,Valid
1064,771,1.405,117,225,Valid
1065,284,1.458,117,220,Valid
1065,796,1.468,117,213,Valid
1066,340,1.511,108,228,Valid
1066,868,1.32,120,171,Valid
1067,356,1.291,119,179,Valid
1067,884,1.415,111,222,Valid
1068,396,1.363,119,199,Valid
1068,876,1.249,129,184,Valid
1069,484,1.32,96,167,Valid
1070,52,1.441,105,228,Valid
1070,612,1.391,105,208,Valid
1071,140,1.336,115,212,Valid
1071,596,1.315,129,201,Valid
1072,148,1.43,108,218,Valid
1072,604,1.342,133,201,Valid
1073,100,1.362,120,198,Valid
1073,604,1.337,119,185,Valid
1074,116,1.384,115,201,Valid
1074,629,1.313,120,191,Valid
1075,125,1.348,117,182,Valid
1075,645,1.398,115,214,Valid
1076,141,1.358,122,206,Valid
1076,637,1.356,120,190,Valid
1077,133,1.285,120,167,Valid
1077,637,1.342,117,211,Valid
1078,157,1.312,119,194,Valid
1078,653,1.322,117,189,Valid
1079,141,1.205,127,164,Valid
1079,621,1.272,122,179,Valid
1080,109,1.191,125,157,Valid
1080,597,1.122,120,145,Valid
1081,85,1.153,125,144,Valid
1081,573,1.145,119,144,Valid
1082,53,1.23,122,201,Valid
1082,581,1.188,120,163,Valid
1083,77,1.283,117,184,Valid
1083,638,1.385,105,199,Valid
1084,134,1.379,120,204,Valid
1084,638,1.332,120,195,Valid
1085,126,1.295,122,183,Valid
1085,606,1.274,125,168,Valid
1086,102,1.4,119,208,Valid
1086,614,1.211,125,152,Valid
1087,102,1.204,115,144,Valid
1087,614,1.234,117,186,Valid
1088,134,1.174,119,156,Valid
1088,646,1.254,113,184,Valid
1089,174,1.243,115,165,Valid
1089,670,1.171,122,175,Valid
1090,150,1.166,125,168,Valid
1090,654,1.188,117,146,Valid
1091,158,1.228,117,167,Valid
1091,670,1.247,115,171,Valid
1092,182,1.32,119,181,Valid
1092,686,1.279,122,159,Valid
1093,174,1.29,117,163,Valid
1093,679,1.229,120,162,Valid
1094,151,1.223,127,162,Valid
1094,671,1.267,115,160,Valid
1095,159,1.181,127,145,Valid
1095,647,1.233,117,172,Valid
1096,143,1.278,122,193,Valid
1096,631,1.27,127,182,Valid
1097,119,1.31,119,176,Valid
1097,623,1.216,122,141,Valid
1098,79,1.239,127,160,Valid
1098,567,1.282,120,178,Valid
1099,79,1.304,120,197,Valid
1099,591,1.303,117,186,Valid
1100,111,1.208,117,161,Valid
1100,591,1.226,122,173,Valid
1101,103,1.322,115,190,Valid
1101,599,1.218,125,198,Valid
1102,103,1.208,119,180,Valid
1102,624,1.3,113,166,Valid
1103,104,1.24,122,183,Valid
1103,616,1.14,120,177,Valid
1104,104,1.122,122,158,Valid
1104,592,1.186,119,143,Valid
1105,96,1.179,119,157,Valid
1105,624,1.158,115,165,Valid
1106,144,1.186,111,152,Valid
1106,656,1.068,122,149,Valid
1107,120,1.14,125,154,Valid
1107,624,1.082,122,156,Valid
1108,120,1.088,119,133,Valid
1108,616,1.162,119,158,Valid
1109,88,1.154,125,168,Valid
1109,592,1.147,122,157,Valid
1110,104,1.201,113,168,Valid
1110,600,1.124,125,132,Valid
1111,128,1.194,111,167,Valid
1111,561,1.203,133,167,Valid
1123,154,1.53,5,314,Valid
1123,618,1.47,127,316,Valid
1124,154,1.706,113,276,Valid
1124,618,1.941,125,356,Valid
1125,66,1.853,131,336,Valid
1125,554,1.613,129,262,Valid
1126,42,1.584,125,265,Valid
1126,514,1.619,122,301,Valid
1126,962,1.703,133,321,Valid
1127,434,1.9,129,315,Valid
1127,922,1.823,122,327,Valid
1128,418,1.692,127,250,Valid
1128,858,1.802,127,300,Valid
1129,315,1.871,129,267,Valid
1129,819,1.958,125,331,Valid
1130,291,1.773,129,285,Valid
1130,747,1.766,129,267,Valid
1131,211,1.736,127,275,Valid
1131,667,1.84,131,326,Valid
1132,155,1.863,125,308,Valid
1132,603,1.906,133,359,Valid
1133,131,1.982,111,325,Valid
1133,547,1.908,150,278,Valid
1134,35,1.981,117,317,Valid
1134,523,1.945,125,348,Valid
1134,995,1.823,133,271,Valid
1135,467,1.904,119,319,Valid
1135,971,1.904,122,283,Valid
1136,451,1.94,120,303,Valid
1136,939,1.851,125,301,Valid
1137,411,1.795,129,294,Valid
1137,867,1.713,131,268,Valid
1138,348,1.706,120,293,Valid
1138,828,1.642,131,233,Valid
1139,324,1.57,119,220,Valid
1139,788,1.569,125,300,Valid
1140,292,1.412,131,189,Valid
1140,708,1.511,127,207,Valid
1141,180,1.512,129,236,Valid
1141,628,1.453,136,227,Valid
1142,100,1.53,122,267,Valid
1142,572,1.517,129,242,Valid
1143,60,1.434,127,205,Valid
1143,508,1.553,125,271,Valid
1143,972,1.607,133,287,Valid
1144,452,1.6,122,266,Valid
1144,932,1.56,127,260,Valid
1145,412,1.552,120,262,Valid
1145,892,1.668,131,264,Valid
1146,340,1.61,127,281,Valid
1146,844,1.534,125,226,Valid
1147,308,1.51,127,259,Valid
1147,748,1.613,136,268,Valid
1148,220,1.608,131,240,Valid
1148,701,1.706,120,302,Valid
