second25,ms26,D,CPM,Vr,valid
917,60,1986,119,355,1
917,564,2054,117,347,1
918,84,2022,117,341,1
918,580,1929,125,326,1
919,52,1792,125,274,1
919,524,1765,127,300,1
920,20,1717,120,296,1
920,493,1692,127,299,1
920,989,1765,119,293,1
921,493,1737,120,299,1
921,973,1759,122,307,1
922,477,1727,119,297,1
922,965,1665,125,278,1
923,453,1592,122,245,1
923,925,1517,127,261,1
924,421,1442,119,189,1
924,909,1461,125,258,1
925,389,1409,125,214,1
925,845,1565,127,302,1
926,341,1601,125,289,1
926,837,1697,117,302,1
927,357,1659,117,265,1
927,877,1796,113,317,1
928,381,1834,120,306,1
928,885,1807,119,296,1
929,397,1820,117,329,1
929,909,1795,117,295,1
930,406,1792,122,309,1
930,902,1761,120,292,1
931,382,1716,120,277,1
931,902,1623,119,258,1
932,406,1572,117,247,1
932,894,1614,120,285,1
933,390,1741,120,309,1
933,894,1633,125,281,1
961,977,1500,2,302,1
962,417,1381,144,264,1
962,865,1547,129,419,1
963,337,1324,133,265,1
963,801,1221,133,230,1
964,233,1286,129,283,1
964,697,1250,129,272,1
965,153,1233,136,254,1
965,625,1256,125,268,1
966,97,1325,122,316,1
966,617,1263,120,287,1
967,73,1200,131,226,1
967,522,1164,127,205,1
968,562,1238,57,312,1
969,2,1121,141,232,1
969,490,1135,119,215,1
969,946,1142,131,236,1
970,458,1075,120,250,1
970,954,1033,125,234,1
971,442,1039,120,228,1
971,906,997,127,226,1
976,771,989,12,244,1
977,211,1069,136,257,1
977,675,1191,129,305,1
978,115,1154,138,263,1
978,571,1063,133,224,1
979,11,1068,133,236,1
979,491,999,125,232,1
979,939,1106,129,259,1
980,387,1132,138,265,1
980,859,1116,127,239,1
981,323,1099,127,279,1
981,835,1000,120,215,1
982,283,1037,131,243,1
982,795,1012,117,219,1
983,275,1032,125,240,1
983,771,968,122,217,1
984,163,1110,144,273,1
984,604,1146,141,265,1
985,84,1106,122,247,1
985,612,993,115,227,1
986,76,1054,127,246,1
986,540,986,133,198,1
987,12,981,125,220,1
987,492,999,125,231,1
987,964,949,129,201,1
988,748,978,75,235,1
989,180,1092,138,248,1
989,660,1108,125,230,1
990,132,1089,129,228,1
990,604,995,129,219,1
991,60,959,129,205,1
991,516,1068,129,241,1
991,988,1045,129,210,1
992,452,1064,127,244,1
992,924,994,131,221,1
993,436,963,115,224,1
993,940,994,117,204,1
994,405,1029,129,242,1
994,869,987,133,223,1
995,357,1006,119,212,1
995,813,1166,129,284,1
996,293,1148,131,233,1
996,757,1253,120,263,1
997,269,1223,120,264,1
997,765,1121,122,218,1
998,237,1129,125,226,1
998,765,1088,113,225,1
999,237,1053,127,217,1
999,733,1025,122,221,1
1000,221,1130,120,241,1
1000,717,1193,120,271,1
1001,197,1140,129,197,1
1001,629,1308,127,244,1
1002,109,1275,129,274,1
1002,589,1172,129,238,1
1003,61,1122,127,218,1
1003,510,1255,127,279,1
1004,14,1216,125,239,1
1004,502,1244,120,232,1
